StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q17,Q22,Q20,Q26,Q24,QID19,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q15_16,Q15_17,Q15_18,Q16,Q17,sessiontoken
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,How old are you?,What gender do you identify as?,What country do you have residence in?,What race/ethnicity best describes you?,What is the highest degree or level of school you have completed?,"Think of this ladder as representing where people stand in our society. At the top of the ladder (rung 10) are the people who are best off, those who have the most money, most education and best jobs. At the bottom (rung 1) are the people who are the worst off, those who have the least money, least education, and worst jobs or no job. Please pick the number of the rung that best represents where you think you stand on the ladder (in your home country).",How old were you when you started playing Overwatch?,Do you have more than one account which you regularly play Overwatch on (e.g. a main account and a smurf account)?,"Across all of your accounts, what are your approximate total hours
of playtime on Overwatch?","Approximately, how many hours of Overwatch do you play a week?",What Overwatch class do you mainly play?,"What is your all-time highest SR (peak SR) in your
main class? (This can be seen at the end of each game)","What is your current SR in your main class? If you
haven’t played the current season, please indicate the SR you finished with the
last season you played.",Do you primarily solo queue or play in a team?,"What kind of training aids do you use to improve
your performance in Overwatch? Tick all that apply, you may choose
multiple answers.","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Shooter (FPS, TPS, Hero)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Action (Fighter, Survival, Battle-Royale)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Role-Playong (MMO-RPG, Open World-RPG)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Simulation (Construction, Management, Life, Vehicle, Flight)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Strategy (Artillery, Auto-Battler, MOBA, RTS, TBS)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Sports (Football, Racing)","Overall,
how frequently (in %) do you play video games of the following genres? If you
do not play a genre, choose 0. The total must equal 100%. - Other","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Apex Legends","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Battlefield","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Call of Duty","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Counter Strike","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Cyberpunk","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Destiny","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Doom","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Dota","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Fortnight","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Gary's Mod","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Halo","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Half-Life","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Left 4 Dead","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Player Unknown's Battlegrounds (PUBG)","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Team Fortress 2 (TF2)","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Rainbow Six Seige","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Valorant","On average, how frequently do
you play these FPS (First Person Shooter, any version) games (in %)? If you do
not play a game, chose 0. The total must equal 100%. - Other","Do
you classify yourself as a professional or casual Overwatch player?","Have
you ever played in an Overwatch league?",sessiontoken
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID22""}","{""ImportId"":""QID19""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID14_9""}","{""ImportId"":""QID14_10""}","{""ImportId"":""QID14_11""}","{""ImportId"":""QID14_12""}","{""ImportId"":""QID14_13""}","{""ImportId"":""QID14_14""}","{""ImportId"":""QID14_15""}","{""ImportId"":""QID14_16""}","{""ImportId"":""QID14_17""}","{""ImportId"":""QID14_18""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""sessiontoken""}"
08/06/2021 18:49,08/06/2021 18:53,IP Address,73.131.22.212,100,212,TRUE,08/06/2021 18:53,R_1jvtfXUWRLh0tnA,,,,,32.82150269,-80.05680084,anonymous,EN,28,Male,United States,White,High school degree or equivalent (A levels),3,23,No,160,6,Support,2700,2500,Solo queue,"Training maps (workshop),YouTube video",80,10,10,0,0,0,0,5,5,70,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,Casual,No,9a0tAGV01623173234965
08/06/2021 20:10,08/06/2021 20:14,IP Address,188.121.15.10,100,271,TRUE,08/06/2021 20:14,R_1HdFecb8nYNgSd6,,,,,51.10429382,17.03349304,anonymous,EN,20,Male,Poland,White,High school degree or equivalent (A levels),5,15,No,948,4,Support,3100,2900,Solo queue,Training maps (workshop),70,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,Casual,No,GPLb4aeg1623177883416
08/06/2021 20:40,08/06/2021 20:43,IP Address,159.89.138.16,100,177,TRUE,08/06/2021 20:43,R_3NvSY0pF7cJL8N8,,,,,37.34170532,-121.975296,anonymous,EN,23,Female,usa,White,Bachelor's degree,5,19,Yes,1000,10,Damage,100,330,Team,YouTube video,10,80,0,0,10,0,0,0,20,40,0,0,0,0,0,0,0,0,0,10,30,0,0,0,0,Casual,No,9mfIStCM1623179821255
08/06/2021 21:07,08/06/2021 21:11,IP Address,84.67.69.121,100,229,TRUE,08/06/2021 21:11,R_3ssouKFuqa0HQez,,,,,51.46429443,-0.011901855,anonymous,EN,22,Male,United Kingdom,White,High school degree or equivalent (A levels),3,17,No,1300,5,Damage,2600,2400,Solo queue,"Training maps (workshop),YouTube video",20,0,30,50,0,0,0,40,0,0,0,0,0,20,0,0,0,0,0,10,0,30,0,0,0,Casual,No,Ei7VAjL21623181854067
08/06/2021 21:08,08/06/2021 21:13,IP Address,66.115.145.10,100,244,TRUE,08/06/2021 21:13,R_sBZW3HS13Ryn4T7,,,,,43.62269592,-79.3891983,anonymous,EN,35,Male,Canada,White,High school degree or equivalent (A levels),5,32,No,300,8,Tank,2600,2600,Team,"VOD reviewing,YouTube video",50,15,25,10,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,Casual,No,ZKXlEAy41623181228263
08/06/2021 21:56,08/06/2021 22:04,IP Address,178.159.3.173,100,494,TRUE,08/06/2021 22:04,R_3exIiZ3QDW5QwJc,,,,,51.5164032,-0.093002319,anonymous,EN,32,Male,United Kingdom,White,Master's degree,8,29,No,1200,7,Damage,3000,2900,Team,"Training maps (workshop),VOD reviewing,Coaching (individual)",60,0,30,0,0,10,0,0,0,40,15,0,0,0,0,0,0,0,0,0,0,0,0,20,25,Professional,No,TouJf0mx1623182910754
08/06/2021 22:34,08/06/2021 22:37,IP Address,81.97.4.246,100,210,TRUE,08/06/2021 22:37,R_1DNJGgLcHocNYCj,,,,,53.25579834,-1.429199219,anonymous,EN,18,Male,United Kingdom,Other,High school degree or equivalent (A levels),7,15,Yes,1500,21,Damage,3700,3700,Team,Training maps (workshop),35,25,20,0,0,20,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Casual,No,oAnbVi7E1623186720350
09/06/2021 00:17,09/06/2021 00:26,IP Address,2.15.230.121,100,585,TRUE,09/06/2021 00:26,R_2CDEN9Z03xd3ANL,,,,,43.56520081,7.13180542,anonymous,EN,23,Male,France,White,Bachelor's degree,5,18,No,1145,7,Tank,2597,2270,Team,"Training maps (workshop),YouTube video",30,25,30,5,10,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,Casual,No,8MaWixZ41623192364013
