"sessionToken","Finished","age","gender","country","race","education","SES","ageoverwatch","accounts","totalhours","weeklyhours","class","peaksr","currentsr","team","aids","level","league","congruent","incongruent","RTinterference","mixingCosts","speed","switchCosts","userCode","updatingaccuracy","MD","outlier_maha","educationcode","zCSR","zAGE","zSES","zEDU","zTH","zWH"
"17n14lHO1627746293331","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",8,13,"Yes",1600,22,"Support",3503,3503,"Team","Training maps (workshop),YouTube video","Casual","No",388.69857143334,412.807142853737,0.0620238230655077,426.824878150007,467.542918452889,174.145410945174,139476,0.89,3.169,FALSE,3,1.11850827318225,-1.037261694671,1.36336864679239,-0.765251321034357,0.464238707574235,1.84574203638974
"1x08eiE71625499225598","TRUE",25,"Male","United Kingdon","White","Master's degree",7,21,"No",300,5,"Tank",1996,1981,"Team","Other","Casual","No",417.874125874126,515.295454545455,0.233135584711159,545.772231251451,485.397260273973,102.937651331719,138332,0.8,2.261,FALSE,5,-1.13960543523545,0.325079953793799,0.689093935607023,1.86259283798928,-0.62405074839501,-0.751222884296871
"2aRtBVa61627856549795","TRUE",28,"Male","Philippines","Asian/Pacific Islander","Bachelor's degree",7,26,"No",800,12,"Tank",2100,2045,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video,Other","Casual","No",430.322602757036,490.764999997616,0.140458337194773,434.604222001258,556.509813078096,537.951419464367,139500,0.41,3.577,FALSE,4,-1.04465190216139,0.908940660278712,0.689093935607023,0.548670758477463,-0.205477880714531,0.31811561245644
"2JX3xOJ01625264011299","TRUE",19,"Male","England","White","High school degree or equivalent (A levels)",5,14,"Yes",3000,8,"Damage",2730,2450,"Solo queue","Training maps (workshop),YouTube video","Casual","No",434.236363635405,444.097777774599,0.0227097842673391,318.814829676814,455.249321266132,261.139297330038,138151,0.65,4.153,FALSE,3,-0.443774075677042,-0.84264145917603,-0.659455486763711,-0.765251321034357,1.63624273707958,-0.29293495711688
"4HW6JE0s1625506644647","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",7,13,"No",1500,8,"Tank",3271,3098,"Solo queue","Training maps (workshop),Coaching (team),Other","Casual","No",469.693617046302,571.785714299338,0.217358919831716,297.210429280353,633.447465443941,390.869377994309,138361,0.51,0.839,FALSE,3,0.517630446697909,-1.037261694671,0.689093935607023,-0.765251321034357,0.380524134038139,-0.29293495711688
"4xgijuVR1625270926699","TRUE",35,"Male","Canada","Asian/Pacific Islander","Bachelor's degree",7,30,"No",1200,10,"Support",3500,3221,"Solo queue","Training maps (workshop),YouTube video","Casual","No",432.985211266598,484.179487179487,0.118235622327913,228.174018735388,510.30184331138,478.136206926971,138175,0.37,4.094,FALSE,4,0.700119268074635,2.27128230874351,0.689093935607023,0.548670758477463,0.129380413429852,0.0125903276697799
"5dBBOQVu1625302243651","TRUE",21,"Male","UK","White","Bachelor's degree",3,18,"No",300,2,"Tank",2800,2600,"Team","Training maps (workshop),YouTube video","Casual","Yes",486.199270068294,519.747619041375,0.0690012327010866,425.370411899246,496.38699551655,252.463425910583,138249,0.47,3.414,FALSE,4,-0.221226732534692,-0.453400988186087,-2.00800490913444,0.548670758477463,-0.62405074839501,-1.20951081147686
"5ZAUYEfu1625284291044","TRUE",25,"Other","Canada","White","Bachelor's degree",7,24,"Yes",1500,6,"Support",3120,2810,"Solo queue","YouTube video","Casual","No",410.353472218331,504.396875007078,0.229176573748376,302.801315787069,557.92149122922,575.29298246116,138211,0.57,2.388,FALSE,4,0.0903395478645974,0.325079953793799,0.689093935607023,0.548670758477463,0.380524134038139,-0.598460241903541
"669hmXJ21625531298468","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",3,16,"Yes",500,12,"Tank",3807,3681,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",503.315217391304,578.888372093266,0.150150744683737,510.47196165195,570.266371681396,170.046412429316,138403,0.58,0.529,FALSE,3,1.38259778704451,-1.037261694671,-2.00800490913444,-0.765251321034357,-0.456621601322819,0.31811561245644
"6bBojwZK1626219376059","TRUE",32,"Male","United States ","White","Bachelor's degree",6,31,"No",150,3,"Damage",2800,2200,"Solo queue","Training maps (workshop)","Casual","No",505.435200000647,582.122222222097,0.151724735873859,476.396135392403,826.298507462593,115.983134921938,138684,0.69,0.725,FALSE,4,-0.814686314247624,1.6874216022586,0.0148192244216564,0.548670758477463,-0.749622608699154,-1.05674816908353
"78oGkkUX1625505608135","TRUE",20,"Male","United States of America","Asian/Pacific Islander","High school degree or equivalent (A levels)",6,17,"Yes",1100,18,"Damage",4021,3830,"Solo queue","Training maps (workshop)","Casual","No",339.139855076869,414.872727276927,0.223308676542578,180.744201413176,445.686307055945,192.302278413487,138354,0.92,2.936,FALSE,3,1.60366148123257,-0.648021223681058,0.0148192244216564,-0.765251321034357,0.045665839893756,1.23469146681642
"8MaWixZ41623192364013","TRUE",23,"Male","France","White","Bachelor's degree",5,18,"No",1145,7,"Tank",2597,2270,"Team","Training maps (workshop),YouTube video","Casual","No",436.092086330592,528.29999999553,0.211441382577708,383.818066957026,511.438073395316,367.345583784151,137333,0.63,0.347,FALSE,4,-0.710830887447861,-0.0641605171961442,-0.659455486763711,0.548670758477463,0.0833373979849991,-0.445697599510211
"96ka69RH1627756666826","TRUE",29,"Female","United Kingdom","White","Bachelor's degree",4,28,"No",470,15,"Tank",2054,1524,"Solo queue","YouTube video","Casual","No",604.05594404594,715.26595743159,0.184105486390499,315.273226813204,762.249186979077,150.922229053792,139483,0.55,0.567,FALSE,4,-1.81763300734248,1.10356089577368,-1.33373019794908,0.548670758477463,-0.481735973383647,0.776403539636431
"9a0tAGV01623173234965","TRUE",28,"Male","United States","White","High school degree or equivalent (A levels)",3,23,"No",160,6,"Support",2700,2500,"Solo queue","Training maps (workshop),YouTube video","Casual","No",432.541925925869,468.337702702942,0.0827567794739216,218.358374003092,510.661535087833,421.153775119346,137302,0.32,5.823,FALSE,3,-0.369591627962925,0.908940660278712,-2.00800490913444,-0.765251321034357,-0.741251151345544,-0.598460241903541
"9IABItcG1627709485284","TRUE",21,"Male","United States","White","High school degree or equivalent (A levels)",7,16,"No",2000,20,"Tank",3253,2801,"Solo queue","Training maps (workshop),Other","Casual","No",398.899264705532,465.859999979867,0.16786377213246,363.95312609308,594.887551879487,142.433006236286,139407,0.66,0.44,FALSE,3,0.0769867072760564,-0.453400988186087,0.689093935607023,-0.765251321034357,0.799097001718618,1.54021675160308
"9n04RZnh1625516204165","TRUE",18,"Male","United Kingdom","White","High school degree or equivalent (A levels)",8,15,"No",400,4,"Tank",2820,2820,"Team","Training maps (workshop),YouTube video","Casual","No",597.521527774632,596.343589746035,-0.00197137337123898,278.753879313325,698.561637929287,113.170447676779,138382,0.84,5.976,FALSE,3,0.105176037407421,-1.037261694671,1.36336864679239,-0.765251321034357,-0.540336174858915,-0.903985526690201
"9WyZg2m61625301294615","TRUE",23,"Male","India","Asian/Pacific Islander","Bachelor's degree",4,19,"No",485,12,"Support",2370,1800,"Team","YouTube video","Casual","No",474.821212121032,546.93720930191,0.151880319033632,-80.1133207076352,522.323737373557,37.2895833340784,138243,0.65,1.4,FALSE,4,-1.40814589596056,-0.0641605171961442,-1.33373019794908,0.548670758477463,-0.469178787353233,0.31811561245644
"9XN4D20y1625301011077","TRUE",29,"Male","India","Asian/Pacific Islander","Bachelor's degree",4,27,"Yes",120,6,"Damage",2200,1650,"Team","YouTube video","Casual","No",474.424285704749,565.502857146944,0.191977042884514,614.531127652014,545.137837843852,104.832886336559,138240,0.76,1.179,FALSE,4,-1.63069323910291,1.10356089577368,-1.33373019794908,0.548670758477463,-0.774736980759983,-0.598460241903541
"aArk0b9l1625517899804","TRUE",20,"Male","United Kingdom","White","High school degree or equivalent (A levels)",8,19,"Yes",555,15,"Tank",2560,2450,"Team","VOD reviewing,YouTube video,Coaching (team)","Casual","Yes",504.171034482789,517.934146341527,0.0272984977664508,380.832967836223,520.098611111106,-45.4297270957946,138385,0.43,8.049,FALSE,3,-0.443774075677042,-0.648021223681058,1.36336864679239,-0.765251321034357,-0.410578585877966,0.776403539636431
"AcCd7bxe1627746363032","TRUE",29,"Male","Russia","White","High school degree or equivalent (A levels)",4,25,"No",177,10,"Tank",2519,2245,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video,Other","Casual","No",428.952447551322,516.778571428288,0.204745594478645,449.697241379764,515.120000000163,250.481091952016,139477,0.32,2.495,FALSE,3,-0.747922111304919,1.10356089577368,-1.33373019794908,-0.765251321034357,-0.727019673844408,0.0125903276697799
"aD3tu67I1627731746489","TRUE",20,"Male","Philippines","Asian/Pacific Islander","Less than a high school diploma (GCSEs)",5,18,"Yes",600,20,"Support",3045,2894,"Solo queue","YouTube video","Casual","No",428.671328671329,486.363636363636,0.134584013050571,234.287856071964,772.608695652174,291.103448275862,139455,0.79,0.656,FALSE,2,0.214966060024313,-0.648021223681058,-0.659455486763711,-2.07917340054618,-0.372907027786723,1.54021675160308
"AqyavPIf1625787479274","TRUE",26,"Male","United States ","White","Bachelor's degree",5,24,"No",220,2,"Tank",3200,2800,"Team","Training maps (workshop),YouTube video,Coaching (team)","Casual","No",459.950724637631,567.899999999926,0.234697478620872,573.78376294335,677.496629213436,234.795217599689,138561,0.44,1.294,FALSE,4,0.0755030583217741,0.51970018928877,-0.659455486763711,0.548670758477463,-0.691022407223887,-1.20951081147686
"C0PyjbjJ1627760317416","TRUE",35,"Female","United States","White","Bachelor's degree",4,32,"Yes",1286,10,"Support",2576,2547,"Team","Other","Casual","No",428.915277777033,479.929545445876,0.118937865615881,357.498589030813,493.054042554409,523.761884541888,139487,1,4.35,FALSE,4,-0.299860127111656,2.27128230874351,-1.33373019794908,0.548670758477463,0.201374946670894,0.0125903276697799
"CEaBox951627716329892","TRUE",19,"Male","Spain","White","Bachelor's degree",7,15,"Yes",550,5,"Tank",2650,2520,"Solo queue","YouTube video","Casual","No",390.683216783967,516.675000001159,0.322490902614997,171.611129571322,532.567441859911,598.081077690215,139426,0.56,5.503,FALSE,4,-0.339918648877278,-0.84264145917603,0.689093935607023,0.548670758477463,-0.414764314554771,-0.751222884296871
"ckSWINN11625598476517","TRUE",21,"Male","英国","White","Bachelor's degree",5,19,"Yes",459,8,"Damage",2471,1699,"Solo queue","Training maps (workshop),YouTube video","Casual","No",701.624822695044,779.280434782735,0.110679681755565,602.44227121265,573.902409638641,430.472710453049,138515,0.37,3.915,FALSE,4,-1.55799444034307,-0.453400988186087,-0.659455486763711,0.548670758477463,-0.490944576472618,-0.29293495711688
"CpOHdhEm1627943480971","TRUE",33,"Male","United States","White","Doctorate degree",9,29,"Yes",1000,6,"Support",3012,2882,"Team","VOD reviewing,YouTube video","Casual","No",448.897142854333,532.789130433746,0.186884654791924,501.029629624438,588.020370374123,110.140322582276,139542,0.5,1.104,FALSE,6,0.197162272572925,1.88204183775357,2.03764335797776,3.17651491750111,-0.0380487336423398,-0.598460241903541
"DPXvzMod1625263591137","TRUE",21,"Male","Israel","White","High school degree or equivalent (A levels)",6,17,"No",500,4,"Support",4300,4000,"Solo queue","YouTube video","Casual","No",434.94963503319,516.96829267246,0.188570471229413,249.397881352295,492.319067799439,262.224717510959,138150,0.64,0.029,FALSE,3,1.85588180346057,-0.453400988186087,0.0148192244216564,-0.765251321034357,-0.456621601322819,-0.903985526690201
"FBViLCzb1625537297873","TRUE",24,"Male","Singapore","Asian/Pacific Islander","Bachelor's degree",6,21,"No",1000,5,"Tank",2700,2500,"Solo queue","Other","Casual","No",345.363636364262,407.309090913245,0.179362990270489,433.735739308769,429.001357465713,53.0611488379845,138408,0.6,1.189,FALSE,4,-0.369591627962925,0.130459718298827,0.0148192244216564,0.548670758477463,-0.0380487336423398,-0.751222884296871
"FbWHxQjp1623946211837","TRUE",18,"Male","United Kingdom","White","High school degree or equivalent (A levels)",7,15,"Yes",1200,15,"Damage",4254,4104,"Solo queue","Training maps (workshop)","Casual","No",353.7644927506,445.519512189598,0.259367520820367,384.9978898447,420.54377682296,242.533771926949,137812,0.99,5.167,FALSE,3,2.01018129470593,-1.037261694671,0.689093935607023,-0.765251321034357,0.129380413429852,0.776403539636431
"fqGTqbk21625303574542","TRUE",24,"Male","India","Asian/Pacific Islander","Bachelor's degree",7,18,"No",300,10,"Damage",2400,2200,"Solo queue","YouTube video","Casual","No",483.386666666592,578.326829268075,0.196406250209971,559.455635728379,536.518502202623,182.146551724266,138255,0.9,2.143,FALSE,4,-0.814686314247624,0.130459718298827,0.689093935607023,0.548670758477463,-0.62405074839501,0.0125903276697799
