"sessionToken","Finished","age","gender","country","race","education","SES","ageoverwatch","accounts","totalhours","weeklyhours","class","peaksr","currentsr","team","aids","level","league","congruent","incongruent","RTinterference","mixingCosts","speed","switchCosts","userCode","updatingaccuracy","MD","outlier_maha","educationcode","zCSR","zAGE","zSES","zEDU","zTH","zWH"
"2JX3xOJ01625264011299","TRUE",19,"Male","England","White","High school degree or equivalent (A levels)",5,14,"Yes",3000,8,"Damage",2730,2450,"Solo queue","Training maps (workshop),YouTube video","Casual","No",434.236363635405,444.097777774599,0.0227097842673391,318.814829676814,455.249321266132,261.139297330038,138151,0.65,4.153,FALSE,3,-0.443774075677042,-0.84264145917603,-0.659455486763711,-0.765251321034357,1.63624273707958,-0.29293495711688
"6bBojwZK1626219376059","TRUE",32,"Male","United States ","White","Bachelor's degree",6,31,"No",150,3,"Damage",2800,2200,"Solo queue","Training maps (workshop)","Casual","No",505.435200000647,582.122222222097,0.151724735873859,476.396135392403,826.298507462593,115.983134921938,138684,0.69,0.725,FALSE,4,-0.814686314247624,1.6874216022586,0.0148192244216564,0.548670758477463,-0.749622608699154,-1.05674816908353
"78oGkkUX1625505608135","TRUE",20,"Male","United States of America","Asian/Pacific Islander","High school degree or equivalent (A levels)",6,17,"Yes",1100,18,"Damage",4021,3830,"Solo queue","Training maps (workshop)","Casual","No",339.139855076869,414.872727276927,0.223308676542578,180.744201413176,445.686307055945,192.302278413487,138354,0.92,2.936,FALSE,3,1.60366148123257,-0.648021223681058,0.0148192244216564,-0.765251321034357,0.045665839893756,1.23469146681642
"9XN4D20y1625301011077","TRUE",29,"Male","India","Asian/Pacific Islander","Bachelor's degree",4,27,"Yes",120,6,"Damage",2200,1650,"Team","YouTube video","Casual","No",474.424285704749,565.502857146944,0.191977042884514,614.531127652014,545.137837843852,104.832886336559,138240,0.76,1.179,FALSE,4,-1.63069323910291,1.10356089577368,-1.33373019794908,0.548670758477463,-0.774736980759983,-0.598460241903541
"ckSWINN11625598476517","TRUE",21,"Male","英国","White","Bachelor's degree",5,19,"Yes",459,8,"Damage",2471,1699,"Solo queue","Training maps (workshop),YouTube video","Casual","No",701.624822695044,779.280434782735,0.110679681755565,602.44227121265,573.902409638641,430.472710453049,138515,0.37,3.915,FALSE,4,-1.55799444034307,-0.453400988186087,-0.659455486763711,0.548670758477463,-0.490944576472618,-0.29293495711688
"FbWHxQjp1623946211837","TRUE",18,"Male","United Kingdom","White","High school degree or equivalent (A levels)",7,15,"Yes",1200,15,"Damage",4254,4104,"Solo queue","Training maps (workshop)","Casual","No",353.7644927506,445.519512189598,0.259367520820367,384.9978898447,420.54377682296,242.533771926949,137812,0.99,5.167,FALSE,3,2.01018129470593,-1.037261694671,0.689093935607023,-0.765251321034357,0.129380413429852,0.776403539636431
"fqGTqbk21625303574542","TRUE",24,"Male","India","Asian/Pacific Islander","Bachelor's degree",7,18,"No",300,10,"Damage",2400,2200,"Solo queue","YouTube video","Casual","No",483.386666666592,578.326829268075,0.196406250209971,559.455635728379,536.518502202623,182.146551724266,138255,0.9,2.143,FALSE,4,-0.814686314247624,0.130459718298827,0.689093935607023,0.548670758477463,-0.62405074839501,0.0125903276697799
"GFtbhQ0L1625312672566","TRUE",28,"Male","United States","White","Bachelor's degree",6,22,"Yes",300,12,"Damage",2800,2500,"Solo queue","Training maps (workshop),Coaching (team)","Professional","Yes",538.274803149662,649.821875000499,0.207230714122471,212.645409125281,439.540865384687,37.5311167942936,138275,0.4,2.668,FALSE,4,-0.369591627962925,0.908940660278712,0.0148192244216564,0.548670758477463,-0.62405074839501,0.31811561245644
"jyTYYB0J1625271013012","TRUE",18,"Male","United Kingdom","Asian/Pacific Islander","High school degree or equivalent (A levels)",8,13,"No",400,15,"Damage",2100,1950,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",552.150714285459,618.911363637075,0.120910192859229,478.852136753087,575.547863247621,18.2779661012391,138176,0.48,2.89,FALSE,3,-1.18559855281821,-1.037261694671,1.36336864679239,-0.765251321034357,-0.540336174858915,0.776403539636431
"nrOHI3ty1625300971860","TRUE",19,"Male","India","Asian/Pacific Islander","High school degree or equivalent (A levels)",5,17,"No",60,2,"Damage",2300,1800,"Team","YouTube video","Casual","No",500.277272727291,586.307499999926,0.171965092085106,422.889530332715,579.289041095873,510.096428571412,138239,0.25,5.367,FALSE,3,-1.40814589596056,-0.84264145917603,-0.659455486763711,-0.765251321034357,-0.82496572488164,-1.20951081147686
"oAnbVi7E1623186720350","TRUE",18,"Male","United Kingdom","Other","High school degree or equivalent (A levels)",7,15,"Yes",1500,21,"Damage",3700,3700,"Team","Training maps (workshop)","Casual","No",336.405673758147,395.302777777943,0.175077617930249,277.863775317246,388.708154506949,330.447368421314,137331,0.9,1.654,FALSE,3,1.41078711717587,-1.037261694671,0.689093935607023,-0.765251321034357,0.380524134038139,1.69297939399641
"qRW09uTm1625607036019","TRUE",23,"Male","Brasil","White","High school degree or equivalent (A levels)",6,20,"Yes",1000,10,"Damage",3405,2946,"Solo queue","Training maps (workshop),YouTube video","Casual","No",525.737410065081,627.1690476111,0.192932128481142,459.222158931061,647.399152540049,229.104112252854,138530,0.73,0.343,FALSE,3,0.292115805646994,-0.0641605171961442,0.0148192244216564,-0.765251321034357,-0.0380487336423398,0.0125903276697799
"sBalk3rf1627799663496","TRUE",37,"Male","France","White","High school degree or equivalent (A levels)",5,34,"Yes",2000,25,"Damage",3100,3100,"Solo queue","Training maps (workshop),YouTube video","Casual","No",423.704895103728,489.449999998013,0.15516720635996,372.309975080146,493.688412011437,186.418006340878,139496,0.6,0.343,FALSE,3,0.520597744606473,2.66052277973345,-0.659455486763711,-0.765251321034357,0.799097001718618,2.30402996356973
"TouJf0mx1623182910754","TRUE",32,"Male","United Kingdom","White","Master's degree",8,29,"No",1200,7,"Damage",3000,2900,"Team","Training maps (workshop),VOD reviewing,Coaching (individual)","Professional","No",678.448529411765,758.790697674419,0.118420432471588,644.651072124756,820.219298245614,91.7962962962963,137330,0.39,3.339,FALSE,5,0.223867953750007,1.6874216022586,1.36336864679239,1.86259283798928,0.129380413429852,-0.445697599510211
"tRClJT6T1625297639039","TRUE",18,"Male","Italy","White","High school degree or equivalent (A levels)",7,16,"Yes",1000,7.5,"Damage",3999,3750,"Prefer not to say","Prefer not to say","Casual","No",467.154545460548,514.616279075312,0.101597499320003,620.623317637506,548.11806167695,160.113793097693,138229,0.71,1.237,FALSE,3,1.48496956488999,-1.037261694671,0.689093935607023,-0.765251321034357,-0.0380487336423398,-0.369316278313546
"UsHEaf0M1625522278318","TRUE",20,"Male","United States","White","Bachelor's degree",6,16,"No",300,10,"Damage",2111,2087,"Solo queue","Training maps (workshop),YouTube video","Casual","No",441.866433565433,512.70851063982,0.160324640418508,314.101048328812,594.085836912301,163.409888948109,138392,0.33,2.922,FALSE,4,-0.982338646081528,-0.648021223681058,0.0148192244216564,0.548670758477463,-0.62405074839501,0.0125903276697799
"wLdjZCMg1627698602078","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",4,16,"No",800,9,"Damage",2900,2850,"Team","VOD reviewing,YouTube video,Coaching (individual),Coaching (team),Other","Casual","Yes",431.050724637573,483.919999999367,0.122652097166165,231.167412587185,498.351818181473,324.95531468456,139385,0.86,1.355,FALSE,3,0.149685506035891,-1.037261694671,-1.33373019794908,-0.765251321034357,-0.205477880714531,-0.14017231472355
"WxMpXfWt1625315089094","TRUE",19,"Male","India","Asian/Pacific Islander","Bachelor's degree",8,18,"No",42,6,"Damage",2620,2620,"Team","YouTube video","Casual","No",629.223467149928,714.000357145865,0.134732562311978,610.168783067852,632.864495612203,456.201266781524,138279,0.71,1.056,FALSE,4,-0.191553753449045,-0.84264145917603,1.36336864679239,0.548670758477463,-0.840034348118137,-0.598460241903541
"XGEL03UF1627717923794","TRUE",31,"Male","United States","White","High school degree or equivalent (A levels)",4,26,"Yes",10000,20,"Damage",3509,2949,"Solo queue","VOD reviewing,YouTube video","Casual","No",443.170212765957,524.444444444444,0.18339281237164,381.40231990232,614.423076923077,213.774603174603,139430,0.89,1.707,FALSE,3,0.296566752509841,1.49280136676363,-1.33373019794908,-0.765251321034357,7.49626288460628,1.54021675160308
"Y92TMq8r1625510939979","TRUE",19,"Female","United States","Hispanic or Latino","High school degree or equivalent (A levels)",4,18,"No",621,13,"Damage",2258,1999,"Solo queue","Training maps (workshop),YouTube video","Casual","No",813.224113474501,896.366666665444,0.102238179873585,391.110174602273,884.279111111694,840.898645317742,138373,0.53,9.061,FALSE,3,-1.11289975405837,-0.84264145917603,-1.33373019794908,-0.765251321034357,-0.355326967344143,0.47087825484977
"YMTO7xA51625498266609","TRUE",21,"Male","United States","White","High school degree or equivalent (A levels)",7,19,"No",1031,10,"Damage",2233,2189,"Prefer not to say","YouTube video","Casual","No",404.889705882353,472.914285714286,0.168007679236227,156.025862068965,450.73275862069,486.866379310345,138327,0.83,1.715,FALSE,3,-0.83100645274473,-0.453400988186087,0.689093935607023,-0.765251321034357,-0.0120972158461501,0.0125903276697799
