"sessionToken","Finished","age","gender","country","race","education","SES","ageoverwatch","accounts","totalhours","weeklyhours","class","peaksr","currentsr","team","aids","level","league","congruent","incongruent","RTinterference","mixingCosts","speed","switchCosts","userCode","updatingaccuracy","MD","outlier_maha","educationcode","zCSR","zAGE","zSES","zEDU","zTH","zWH"
"17n14lHO1627746293331","TRUE",18,"Male","United States","White","High school degree or equivalent (A levels)",8,13,"Yes",1600,22,"Support",3503,3503,"Team","Training maps (workshop),YouTube video","Casual","No",388.69857143334,412.807142853737,0.0620238230655077,426.824878150007,467.542918452889,174.145410945174,139476,0.89,3.169,FALSE,3,1.11850827318225,-1.037261694671,1.36336864679239,-0.765251321034357,0.464238707574235,1.84574203638974
"4xgijuVR1625270926699","TRUE",35,"Male","Canada","Asian/Pacific Islander","Bachelor's degree",7,30,"No",1200,10,"Support",3500,3221,"Solo queue","Training maps (workshop),YouTube video","Casual","No",432.985211266598,484.179487179487,0.118235622327913,228.174018735388,510.30184331138,478.136206926971,138175,0.37,4.094,FALSE,4,0.700119268074635,2.27128230874351,0.689093935607023,0.548670758477463,0.129380413429852,0.0125903276697799
"5ZAUYEfu1625284291044","TRUE",25,"Other","Canada","White","Bachelor's degree",7,24,"Yes",1500,6,"Support",3120,2810,"Solo queue","YouTube video","Casual","No",410.353472218331,504.396875007078,0.229176573748376,302.801315787069,557.92149122922,575.29298246116,138211,0.57,2.388,FALSE,4,0.0903395478645974,0.325079953793799,0.689093935607023,0.548670758477463,0.380524134038139,-0.598460241903541
"9a0tAGV01623173234965","TRUE",28,"Male","United States","White","High school degree or equivalent (A levels)",3,23,"No",160,6,"Support",2700,2500,"Solo queue","Training maps (workshop),YouTube video","Casual","No",432.541925925869,468.337702702942,0.0827567794739216,218.358374003092,510.661535087833,421.153775119346,137302,0.32,5.823,FALSE,3,-0.369591627962925,0.908940660278712,-2.00800490913444,-0.765251321034357,-0.741251151345544,-0.598460241903541
"9WyZg2m61625301294615","TRUE",23,"Male","India","Asian/Pacific Islander","Bachelor's degree",4,19,"No",485,12,"Support",2370,1800,"Team","YouTube video","Casual","No",474.821212121032,546.93720930191,0.151880319033632,-80.1133207076352,522.323737373557,37.2895833340784,138243,0.65,1.4,FALSE,4,-1.40814589596056,-0.0641605171961442,-1.33373019794908,0.548670758477463,-0.469178787353233,0.31811561245644
"aD3tu67I1627731746489","TRUE",20,"Male","Philippines","Asian/Pacific Islander","Less than a high school diploma (GCSEs)",5,18,"Yes",600,20,"Support",3045,2894,"Solo queue","YouTube video","Casual","No",428.671328671329,486.363636363636,0.134584013050571,234.287856071964,772.608695652174,291.103448275862,139455,0.79,0.656,FALSE,2,0.214966060024313,-0.648021223681058,-0.659455486763711,-2.07917340054618,-0.372907027786723,1.54021675160308
"C0PyjbjJ1627760317416","TRUE",35,"Female","United States","White","Bachelor's degree",4,32,"Yes",1286,10,"Support",2576,2547,"Team","Other","Casual","No",428.915277777033,479.929545445876,0.118937865615881,357.498589030813,493.054042554409,523.761884541888,139487,1,4.35,FALSE,4,-0.299860127111656,2.27128230874351,-1.33373019794908,0.548670758477463,0.201374946670894,0.0125903276697799
"CpOHdhEm1627943480971","TRUE",33,"Male","United States","White","Doctorate degree",9,29,"Yes",1000,6,"Support",3012,2882,"Team","VOD reviewing,YouTube video","Casual","No",448.897142854333,532.789130433746,0.186884654791924,501.029629624438,588.020370374123,110.140322582276,139542,0.5,1.104,FALSE,6,0.197162272572925,1.88204183775357,2.03764335797776,3.17651491750111,-0.0380487336423398,-0.598460241903541
"DPXvzMod1625263591137","TRUE",21,"Male","Israel","White","High school degree or equivalent (A levels)",6,17,"No",500,4,"Support",4300,4000,"Solo queue","YouTube video","Casual","No",434.94963503319,516.96829267246,0.188570471229413,249.397881352295,492.319067799439,262.224717510959,138150,0.64,0.029,FALSE,3,1.85588180346057,-0.453400988186087,0.0148192244216564,-0.765251321034357,-0.456621601322819,-0.903985526690201
"GPLb4aeg1623177883416","TRUE",20,"Male","Poland","White","High school degree or equivalent (A levels)",5,15,"No",948,4,"Support",3100,2900,"Solo queue","Training maps (workshop)","Casual","No",410.450000000672,476.02499999702,0.159763674007165,292.304678363032,587.550877192303,174.751717175839,137317,0.75,0.537,FALSE,3,0.223867953750007,-0.648021223681058,-0.659455486763711,-0.765251321034357,-0.0815803118811096,-0.903985526690201
"IkR8UUYi1627704851972","TRUE",19,"Male","United States","White","High school degree or equivalent (A levels)",8,15,"No",1750,20,"Support",2550,2400,"Solo queue","Training maps (workshop),VOD reviewing,YouTube video","Casual","No",538.009489049007,668.902272728356,0.243290845874704,533.824790971526,561.222666658825,205.219209041335,139395,0.82,2.094,FALSE,3,-0.517956523391158,-0.84264145917603,1.36336864679239,-0.765251321034357,0.589810567878379,1.54021675160308
